Product ID;Obraz;Nazwa;Indeks;Kategoria;Cena (netto);Cena (brutto);Ilość;Wyświetlany;Pozycja
56;https://dobrewina.pl/1773/benromach-10-years-old.jpg;Wh.Benromach 10 YO Speyside SW 43% 0,7 L;HXXUKGMC13647;Whisky, Whiskey, Bourbon;202.439024;249;2;0;291
60;https://dobrewina.pl/825/oliwki-gordal-pikantne-60-80-480g.jpg;Oliwki Gordal pikantne 60/80 480g;DKA304383;Oliwki;23.900000;23.9;164;0;295
66;https://dobrewina.pl/96/diapiro-roble-dop-alicante-075-l.jpg;Diapiro Roble DOP Alicante 0,75 L;WCWHSPIN21302;Wino czerwone;38.130081;46.9;171;0;246
79;https://dobrewina.pl/833/oliwki-zielone-lux-nadziewane-pasta-z-anchois-161-200-150g.jpg;Oliwki zielone lux nadziewane pastą z anchois 161/200 150g;DKA300514;Oliwki;8.900000;8.9;103;0;269
82;https://dobrewina.pl/110/pavillon-des-trois-arches-chardonnay.jpg;Pavillon DES 3 Arches Chardonnay 0,75 L;WBWFALGI13387;Wino białe;38.130081;46.9;410;0;239
86;https://dobrewina.pl/1143/sensas-cabernet-sauvignon-syrah.jpg;Sensas Cabernet Syrah IGP 0,75 L;WCWFALGI13384;Wino czerwone;32.439024;39.9;391;0;238
97;https://dobrewina.pl/955/surya-monastrell-oak-aged-vdlt-de-castilla-075-l.jpg;Surya Monastrell Oak Aged VdlT de Castilla 0,75 L;WCWHSTER20557;Wino czerwone;40.569106;59.9;58;0;247
137;https://dobrewina.pl/1006/wh-sir-edward-s-40-07-l.jpg;Wh.Sir Edward's 40% 0,7 L;HXXUKBAR14905;Whisky, Whiskey, Bourbon;56.829268;69.9;0;1;258
138;https://dobrewina.pl/1005/wh-sir-edward-s-smoky-40-07-l.jpg;Wh.Sir Edward's Smoky 40% 0,7 L;HXXUKBAR14906;Whisky, Whiskey, Bourbon;64.959350;79.9;31;0;289
149;https://dobrewina.pl/838/pasztet-tradycyjny-z-borowikami-220g.jpg;Pasztet tradycyjny z borowikami 220G;DLG65010;Pasztety;28.900000;31.9;176;0;265
155;https://dobrewina.pl/840/pasztet-wyborny-wiejski-220g.jpg;Pasztet wyborny wiejski 220G;DLG65046;Pasztety;19.900000;19.9;86;0;266
160;https://dobrewina.pl/929/aperol-barbieri-aperitif-07-l-.jpg;Aperol Barbieri Aperitif 11% 0,7 L;MXXYYXXX05586;Aperol, Campari, Grappa;69.024390;84.9;9;0;372
161;https://dobrewina.pl/874/kartonik-nw1-zamykany-eko.jpg;Kartonik NW1 zamykany EKO;XKNW1EKO;Opakowanie tekturowe;10.487805;12.9;231;0;300
173;https://dobrewina.pl/209/the-very-cautious-one-gewurztraminer-riesling-0-075-l-.jpg;The Very Cautious One Gewurztraminer-Riesling 0% 0,75 L;WBWBEDEB21478;Wino bezalkoholowe;32.439024;39.9;14;0;228
174;https://dobrewina.pl/210/the-very-cautious-one-shiraz-0-075-l.jpg;The Very Cautious One Shiraz 0% 0,75 L;WCWBEDEB21479;Wino bezalkoholowe;32.439024;39.9;11;0;229
212;https://dobrewina.pl/810/konfitura-z-fig-z-orzechami-wloskimi-350g.jpg;Konfitura z fig z orzechami włoskimi 350G;DLG25385;Konfitury;18.900000;18.9;117;0;274
220;https://dobrewina.pl/254/cava-soler-jove-semi-seco-075-l.jpg;Cava Soler Jove Semi Seco 0,75 L;WBPHSSOL05883;Wino musujące;40.569106;49.9;7;0;249
222;https://dobrewina.pl/875/kartonik-nw1-zamykany-czerwony-faktura.jpg;Kartonik NW1 zamykany czerwony maziak;XKZ1CZEF;Opakowanie tekturowe;10.487805;12.9;8;0;314
224;https://dobrewina.pl/771/kartonik-nw1-zamykany-bialy-prazek-40.jpg;Kartonik NW1 zamykany biały;XKZ1BIAP;Opakowanie tekturowe;10.487805;12.9;65;0;311
230;https://dobrewina.pl/265/cava-soler-jove-brut.jpg;Cava Soler Jove Brut 0,75 L;WBWHSSOL05882;Wino musujące;40.569106;49.9;3;0;250
233;https://dobrewina.pl/1123/sherry-piconera-amontillado-do-jerez-075-l.jpg;Sherry Piconera Amontillado DO Jerez 0,75 L;WWPHSFER00602;Wino wzmacniane/deserowe;40.569106;49.9;10;0;251
259;https://dobrewina.pl/1093/willow-glen-gewurztraminer-riesling.jpg;Willowglen Gewurztraminer Riesling 0,75 L;WBMASDGS10055;Wino białe;32.439024;39.9;6;0;227
269;https://dobrewina.pl/1079/calusari-pinot-grigio.jpg;Calusari Pinot Grigio 0,75 L;WBWROCNC10269;Wina do 30 zł;24.308943;29.9;0;1;262
271;https://dobrewina.pl/1076/calusari-chardonnay.jpg;Calusari Chardonnay 0,75 L;WBWROCNC13042;Wina do 30 zł;24.308943;29.9;0;1;261
272;https://dobrewina.pl/1081/calusari-sauvignon-blanc.jpg;Calusari Sauvignon Blanc 0,75 L;WBWROCNC13041;Wina do 30 zł;24.308943;29.9;5;0;260
290;https://dobrewina.pl/880/kartonik-s1-bialy.jpg;Kartonik S1 biały;XKS1BI;Opakowanie tekturowe;8.048780;9.9;29;0;317
293;https://dobrewina.pl/770/kartonik-s1-eko.jpg;Kartonik S1 EKO;XKS1EKO;Opakowanie tekturowe;8.048780;9.9;239;0;310
294;https://dobrewina.pl/1180/pudelko-s1o-czerwony-s.jpg;Kartonik NW1 czerwony;XKS1CZE;Opakowanie tekturowe;10.487805;12.9;20;0;320
296;https://dobrewina.pl/782/kartonik-s1-fiolet-k-.jpg;Kartonik S1 fioletowy K;XKS1F;Opakowanie tekturowe;8.048780;9.9;2;0;312
324;https://dobrewina.pl/805/kapary-220g.jpg;Kapary 220g;DKA300286;Inne specjały;9.900000;9.9;32;0;267
329;https://dobrewina.pl/1126/sherry-piconera-cream-bodegas-ferris-.jpg;Sherry Piconera Cream DO Jerez 0,75 L;WWSHSFER00603;Wino wzmacniane/deserowe;40.569106;49.9;5;0;257
330;https://dobrewina.pl/1128/sherry-piconera-fino-do-jerez-075-l.jpg;Sherry Piconera Fino DO Jerez 0,75 L;WWWHSFER00604;Wino wzmacniane/deserowe;40.569106;49.9;0;1;256
336;https://dobrewina.pl/885/kartonik-s1-srebrny-faktura.jpg;Kartonik S1 srebrny maziak;XKS1SRF;Opakowanie tekturowe;8.048780;9.9;1;0;318
338;https://dobrewina.pl/790/delikates-z-baklazana-100g.jpg;Delikates z bakłażana 100G;DLG65021;Inne specjały;14.900000;14.9;0;1;275
350;https://dobrewina.pl/386/ultimate-zin-zinfandel-california-075-l.jpg;Ultimate Zin Zinfandel California 0,75 L;WCWUABIE21860;Wino czerwone;46.260163;56.9;0;1;231
354;https://dobrewina.pl/824/oliwki-gordal-nadziewane-papryczka-guindilla-90-100-175g.jpg;Oliwki Gordal nadziewane papryczką Guindilla 90/100 175g;DKA302686;Oliwki;11.900000;11.9;43;0;279
361;https://dobrewina.pl/396/la-marina-cuvee-oceane-igp-075-l.jpg;La Marina Cuvee Oceane IGP 0,75 L;WBWFADDM20347;Wino białe;36.504065;44.9;266;0;233
421;https://dobrewina.pl/804/guindillas-papryczki-pepperoni-150g.jpg;Guindillas - papryczki pepperoni 150g;DKA301221;Delikatesy;11.900000;11.9;33;0;278
432;https://dobrewina.pl/452/vinho-verde-holly-blue-doc-075-l.jpg;Vinho Verde Holly Blue DOC 0,75 L;WBPPRVRC14102;Wina do 30 zł;24.308943;29.9;30;0;255
435;https://dobrewina.pl/792/oliwki-zielone-nadziewane-migdalem-181-200-200g.jpg;Oliwki zielone nadziewane migdałem 181/200 200g;DKA301955;Oliwki;19.900000;19.9;287;0;294
480;https://dobrewina.pl/1964/armagnac-ducastaing-vs-40-07-l.jpg;Armagnac Ducastaing VS 40% 0,7 L;MXXFABAR14893;Cognac, Brandy, Armagnac;137.398374;169;0;1;284
489;https://dobrewina.pl/507/la-marina-gros-manseng-igp-075l.jpg;La Marina Gros Manseng IGP 0,75 L;WBMFADDM20349;Wino białe;40.569106;49.9;4;0;234
493;https://dobrewina.pl/1779/bio-3-passo-rosso-075-l.jpg;Bio 3 Passo Rosso 0,75 L;WCWWOCNC20167;Wino BIO/Wegańskie;40.569106;49.9;230;0;248
504;https://dobrewina.pl/521/cristatus-tinto-dop-alicante-075-l.jpg;Cristatus Tinto DOP Alicante 0,75 L;WCWHSPIN21300;Wino czerwone;24.308943;34.9;3;0;245
519;https://dobrewina.pl/788/blok-z-foie-gras-z-kaczki-80g.jpg;Blok z foie gras z kaczki 80g;DLG43330;Pasztety;29.900000;29.9;612;0;281
547;https://dobrewina.pl/1953/bio-pinoso-cepa-50-dop-alicante-075-l.jpg;Bio Pinoso Cepa 50 DOP Alicante 0,75 L;WCWHSPIN21303;Wino BIO/Wegańskie;32.439024;39.9;78;0;241
549;https://dobrewina.pl/933/campari-bitter-07l.jpg;Campari Bitter 25% 0,7 L;MXXYYXXX00128;Aperol, Campari, Grappa;81.219512;99.9;10;0;290
554;https://dobrewina.pl/572/la-marina-ugni-blanc-colombard-igp-075l.jpg;La Marina Ugni Blanc-Colombard IGP 0,75 L;WBWFADDM20348;Wino białe;32.439024;39.9;227;0;236
587;https://dobrewina.pl/889/kartonik-s1-czarny-s.jpg;Kartonik S1 czarny S;XKS1CS;Opakowanie tekturowe;8.048780;9.9;0;1;319
589;https://dobrewina.pl/784/kartonik-s1-czarny-k.jpg;Kartonik S1 czarny K;XKS10CS;Opakowanie tekturowe;8.048780;9.9;12;0;313
591;https://dobrewina.pl/1774/wh-sir-edward-s-12yo-40-07l.jpg;Wh.Sir Edward's 12YO 40% 0,7 L;HXXUKBAR20459;Whisky, Whiskey, Bourbon;96.747967;119;8;0;259
608;https://dobrewina.pl/829/oliwki-zielone-nadziewane-cytryna-221-260-120g.jpg;Oliwki zielone nadziewane cytryną 221/260 120g;DKA301467;Oliwki;5.900000;5.9;192;0;277
623;https://dobrewina.pl/1170/oliwki-zielone-nadziewane-papryka-czerwona-221-260-120g.jpg;Oliwki zielone nadziewane papryką czerwoną 221/260 120g;DKA301207;Oliwki;5.900000;5.9;82;0;276
624;https://dobrewina.pl/828/oliwki-zielone-nadziewane-pasta-z-anchois-221-260-120g.jpg;Oliwki zielone nadziewane pastą z anchois 221/260 120g;DKA114302;Oliwki;5.900000;5.9;213;0;270
643;https://dobrewina.pl/837/pasztet-baskijski-z-papryczka-espelette-70g.jpg;Pasztet baskijski z papryczką Espelette 70G;DLG65203;Pasztety;11.900000;11.9;33;0;264
